student_id,course_name,name,scaled
429,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.83
476,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.44
478,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.47
480,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.75
433,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.67
517,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.53
435,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.72
437,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.88
482,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.76
440,2020年度数学[中3]B組,2020_中学_3年_数学_Benesse模試1回,0.77
485,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.62
445,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.84
486,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.57
448,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.69
406,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.41
487,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.91
407,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.84
408,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.83
454,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.67
455,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.72
489,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.74
491,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.56
493,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.71
415,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.57
494,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.76
457,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.72
460,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.79
498,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.78
465,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.83
466,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.82
422,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.66
426,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.83
509,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.65
511,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.54
474,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.68
513,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.7
475,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.53
477,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.6
514,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.84
431,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.75
515,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.66
481,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.64
434,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.75
518,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.67
436,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.8
519,2020年度数学[中3]C組,2020_中学_3年_数学_Benesse模試1回,0.55
